base_name,mask_label,nadh_intensity_mean,nadh_intensity_stdev,nadh_a1_mean,nadh_a1_stdev,nadh_a1_intensity_weighted_mean,nadh_a1_intensity_weighted_stdev,nadh_a2_mean,nadh_a2_stdev,nadh_a2_intensity_weighted_mean,nadh_a2_intensity_weighted_stdev,nadh_t1_mean,nadh_t1_stdev,nadh_t1_intensity_weighted_mean,nadh_t1_intensity_weighted_stdev,nadh_t2_mean,nadh_t2_stdev,nadh_t2_intensity_weighted_mean,nadh_t2_intensity_weighted_stdev,nadh_tau_mean_mean,nadh_tau_mean_stdev,nadh_tau_mean_intensity_weighted_mean,nadh_tau_mean_intensity_weighted_stdev,fad_intensity_mean,fad_intensity_stdev,fad_a1_mean,fad_a1_stdev,fad_a1_intensity_weighted_mean,fad_a1_intensity_weighted_stdev,fad_a2_mean,fad_a2_stdev,fad_a2_intensity_weighted_mean,fad_a2_intensity_weighted_stdev,fad_t1_mean,fad_t1_stdev,fad_t1_intensity_weighted_mean,fad_t1_intensity_weighted_stdev,fad_t2_mean,fad_t2_stdev,fad_t2_intensity_weighted_mean,fad_t2_intensity_weighted_stdev,fad_tau_mean_mean,fad_tau_mean_stdev,fad_tau_mean_intensity_weighted_mean,fad_tau_mean_intensity_weighted_stdev,redox_ratio_mean,redox_ratio_stdev,redox_ratio_norm_mean,redox_ratio_norm_stdev,flirr_mean,flirr_stdev,set_base_name,analyzed_by,cancer,cell_line,cell_type,date,dish,dye,experiment,fad_a1,fad_a2,fad_image_number,fad_photons,fad_t1,fad_t2,filter_cube,mask_cell,mask_cytoplasm,mask_nuclei,media,nadh_a1,nadh_a2,nadh_image_number,nadh_photons,nadh_t1,nadh_t2,objective,reanalyzed_by,resolution,treatment
HPDE_2DG_10_1,1.0,255.7027027027027,165.46946560241696,67.7064864864865,6.396788381644895,67.75736192580067,5.590640480468756,32.29351351351351,6.396788381644895,32.24263807419935,5.590640480468756,322.1201362162162,108.37234909577776,319.0865981693267,91.17726362871016,2454.1708648648646,516.5280568893103,2444.2025191840185,438.9547943926018,991.7069282326022,177.7596796855437,989.0731641989316,149.32068719893633,53.65945945945946,41.4763720393389,71.61041837837837,22.96757044280661,75.68428688425506,15.436266741591616,19.200392432432437,6.77522311202166,20.437401440515767,4.900376524417763,140.32319945945946,66.45850584942701,149.90795128437594,54.09932394210445,1705.0304864864866,632.1277243006298,1813.0158728719653,457.6987256172693,466.8433666156433,176.99202378559525,500.315131439517,133.0147070147233,5.226123679853968,2.329175965938087,0.8110563619822052,0.0939160544303721,0.402151131596223,0.0769239563330657,HPDE_2DG_10,,,,,,,,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_a1[%].asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_a2[%].asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_photons.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_t1.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_t2.asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_cells.tiff,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_cyto.tiff,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_nuclei.tiff,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_a1[%].asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_a2[%].asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_photons.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_t1.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_t2.asc,,,"(256, 256)",
HPDE_2DG_10_2,2.0,274.1546961325967,209.12257724167537,69.04709834254143,5.993636306853881,68.23950285155777,4.488846701753993,30.95290165745856,5.9936363068538805,31.760497148442223,4.488846701753992,323.2505856353592,81.7022420372365,327.67583327959375,74.03795825233864,2611.292707182321,578.033704772388,2546.213855144896,479.7401210529975,1007.3731146806356,141.2315747991263,1016.8104839183916,123.61458567571668,52.13812154696133,32.67718779204043,66.48028895027625,29.28926781975501,73.60955493271167,20.94035839853409,17.497611602209947,8.54727335125864,19.13178235668115,6.562227785172181,108.2869635359116,75.14844986955568,124.4548993006252,70.99554239350532,1498.3878453038672,716.5798668077006,1676.8512800678184,573.0929710857091,392.631998459885,203.55467430726867,438.44147408969405,166.3774327972089,5.291417433071779,2.4752089648686577,0.8035121925640032,0.1250250785117042,0.4019299794200193,0.071996693689341,HPDE_2DG_10,,,,,,,,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_a1[%].asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_a2[%].asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_photons.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_t1.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_t2.asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_cells.tiff,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_cyto.tiff,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_nuclei.tiff,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_a1[%].asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_a2[%].asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_photons.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_t1.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_t2.asc,,,"(256, 256)",
HPDE_2DG_10_3,3.0,231.91304347826087,199.9575526789272,66.57027369565216,6.414062728983076,66.92448700693663,5.225886492140164,33.429726304347824,6.414062728983076,33.07551299306336,5.225886492140164,292.52530869565214,125.19075283373722,304.4033847065992,102.9495141452567,2587.531673913043,947.950052771782,2592.5367108173978,741.8254083361178,1032.077807712655,234.81734488784448,1042.2602807805097,186.01206695373872,49.56086956521739,53.65812260024559,65.5480854347826,31.33731743567405,73.06645487762084,23.573558062908912,15.973653695652173,8.122695484141643,17.59939300377226,6.162357231015934,113.12651626086956,72.03213064946704,121.30279312308096,56.41892526705744,1472.030086956522,783.8241105680652,1630.2425778577067,599.6361383448495,373.5797995445931,194.9294547826412,409.8962158025165,147.17514884861436,5.250483143041311,2.739205654128809,0.8024642007352498,0.1084839242473708,0.4157205096041172,0.078948208310251,HPDE_2DG_10,,,,,,,,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_a1[%].asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_a2[%].asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_photons.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_t1.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_t2.asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_cells.tiff,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_cyto.tiff,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_nuclei.tiff,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_a1[%].asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_a2[%].asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_photons.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_t1.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_t2.asc,,,"(256, 256)",
HPDE_2DG_10_4,4.0,244.30284301606923,168.78902214558158,67.97454091470952,6.064394367530783,67.62052364640941,5.354758061949072,32.025459085290485,6.064394367530783,32.3794763535906,5.354758061949072,308.0277239802225,103.32671424939576,313.7923768848569,92.91878147820503,2467.2025339925835,634.8932635518097,2427.278800451323,535.1073308710177,978.3559820999368,188.5461731556131,981.710915486936,162.36732506796966,56.30902348578492,37.90745258969524,77.58476328800988,11.706732504339447,78.30744981999385,8.32100371198669,20.437486402966623,4.9014835926393525,20.78154346270361,4.102757080852804,133.86302311495675,53.31180983007674,139.0103285660974,46.05302282474802,1792.2178862793571,395.2222782715227,1817.3659628133648,327.06372234238256,473.851534396457,123.03968192871768,486.20882632196975,103.20549176127226,4.672926618065014,2.3058585582347724,0.7938808880973776,0.0860846500143994,0.4061065785361812,0.0816669312507309,HPDE_2DG_10,,,,,,,,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_a1[%].asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_a2[%].asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_photons.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_t1.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_t2.asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_cells.tiff,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_cyto.tiff,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_nuclei.tiff,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_a1[%].asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_a2[%].asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_photons.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_t1.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_t2.asc,,,"(256, 256)",
HPDE_2DG_10_5,5.0,309.67957746478874,250.89817418281896,68.97493450704225,5.544437204418393,68.9457706398026,4.305330532309284,31.02506549295774,5.544437204418393,31.05422936019739,4.305330532309284,303.23940211267603,113.3301637068052,299.8450606101263,87.06123687888726,2275.0407746478872,548.0792480654266,2211.724848719144,444.7844232501135,896.3952888887771,159.52412756858573,882.1481057782081,135.36033278487588,88.79929577464789,98.5771228756127,79.92126443661971,5.4143718759189685,79.75923519965104,3.76339579538384,19.72662288732394,2.8495835644121263,20.078188964669494,2.111978206998563,153.2148235915493,43.060404720091405,142.34450618977755,35.340345111945744,1943.8347183098597,414.7042830956517,1857.7477405924103,326.0948711575755,502.5480558068697,99.45429932363456,484.4066932615799,80.3508432112841,4.1166935779205724,2.1007274972272554,0.777822625590167,0.0750193141165064,0.3866142945514551,0.0694371927297566,HPDE_2DG_10,,,,,,,,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_a1[%].asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_a2[%].asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_photons.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_t1.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_t2.asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_cells.tiff,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_cyto.tiff,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_nuclei.tiff,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_a1[%].asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_a2[%].asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_photons.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_t1.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_t2.asc,,,"(256, 256)",
HPDE_2DG_10_6,6.0,282.766590389016,201.85047931700012,67.13719061784897,5.902196579421229,66.86936693183566,4.834154529123482,32.86280938215103,5.902196579421229,33.13063306816434,4.834154529123482,295.1758983981693,114.97887913670502,296.01620151089674,88.70177948080863,2465.0353775743706,615.6741270948914,2425.9316896632654,478.80839664139273,993.7632375569272,212.92993058384556,991.6164480187376,167.50624664328322,62.76201372997712,43.259613537924864,79.72786270022884,7.1037670658086585,79.98573530462681,4.827046244231891,19.585638443935924,3.029181141156179,19.729873402122,2.482767196403158,136.47510594965675,48.12538169783772,139.47643089291574,42.66997132517547,1906.3184439359263,381.6320342706576,1898.024584533489,333.5297060187985,482.5884068686623,109.66378516697398,484.687295422687,93.68001133445614,4.61373559074325,2.0182417585694643,0.7945177264575278,0.0954944450877158,0.4094833462850381,0.0731054785244806,HPDE_2DG_10,,,,,,,,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_a1[%].asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_a2[%].asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_photons.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_t1.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_t2.asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_cells.tiff,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_cyto.tiff,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_nuclei.tiff,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_a1[%].asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_a2[%].asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_photons.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_t1.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_t2.asc,,,"(256, 256)",
HPDE_2DG_10_7,7.0,209.03971119133573,140.8245004935816,68.01612779783393,7.523233082308664,68.27498640335727,6.17580472368916,31.98387227436823,7.523232866449183,31.725013623583862,6.175804626700577,319.678738267148,134.47347923340263,338.9437592774248,120.35018717034409,2426.8136028880863,1035.615199618236,2440.72255775076,763.4551706739504,949.7686919465262,192.0712020584221,979.4576541152048,162.5078445770979,41.26353790613718,23.945769184794447,75.79727220216607,19.56965271383183,77.87763826771653,14.819262099460834,18.06554368231047,5.35360253532279,18.73653496062992,4.401022414195884,142.4014310469314,55.20829315266492,149.74298380577426,49.28580400894327,1848.018664259928,571.3895669647128,1893.2254155730532,475.6867085152691,466.3840127328217,147.9698057383753,483.1280410684317,122.71909990496336,5.266627621197825,2.5239344772474093,0.8126800740898709,0.0849114984355482,0.3977596592682656,0.0896396098605415,HPDE_2DG_10,,,,,,,,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_a1[%].asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_a2[%].asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_photons.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_t1.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_t2.asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_cells.tiff,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_cyto.tiff,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_nuclei.tiff,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_a1[%].asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_a2[%].asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_photons.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_t1.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_t2.asc,,,"(256, 256)",
HPDE_2DG_10_8,8.0,249.62796208530807,187.8546793272289,66.47445687203792,6.530875264460417,66.97833271123852,5.190344053744578,33.52554312796208,6.530875264460418,33.02166728876148,5.190344053744579,295.67871943127966,103.32637772074192,309.5247565020932,82.038920346947,2438.5181753554502,561.7562975711877,2448.3118292625045,497.52372971453934,994.7208097733336,191.97440734981896,1001.8187809203926,161.61555419134592,45.02132701421801,28.02541196440435,71.87486966824645,26.47986542587669,76.53531867466708,19.35901626852283,16.276789099526066,6.514464102093442,17.56437078267277,5.179247563800723,120.55901966824644,62.06416266250541,128.8321109900521,55.37350748863158,1665.6470142180096,722.9331488811913,1730.906266645613,594.7201435443322,400.61617060958486,172.34803604366968,421.8741721837965,141.47895504775803,5.65011805232886,2.580676286936262,0.8239048911286398,0.0828395520839643,0.4118423517803548,0.0708221200937374,HPDE_2DG_10,,,,,,,,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_a1[%].asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_a2[%].asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_photons.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_t1.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_t2.asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_cells.tiff,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_cyto.tiff,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_nuclei.tiff,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_a1[%].asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_a2[%].asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_photons.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_t1.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_t2.asc,,,"(256, 256)",
HPDE_2DG_10_9,9.0,246.06728538283065,172.3393905707074,66.92666357308585,6.075326285639262,65.91513899391826,5.309536196217186,33.07333642691415,6.075326285639261,34.08486100608175,5.309536196217186,311.92018654292343,97.23598203847769,322.82038320211217,84.9662307695899,2543.418236658932,564.7912890466438,2560.6977678563007,473.6820445133668,1032.631000697295,195.8693058089786,1071.6790290560707,162.63311490247986,51.7122969837587,31.607450325351667,73.4130071925754,22.046601402528392,76.39426704504666,15.98713820589968,18.466343155452435,6.3126876377556576,19.54525197864321,4.975363686750796,138.94147401392112,61.93283875315045,144.8822804334171,52.735706638018286,1838.6408352668211,675.5387082733575,1876.8754733488872,517.1968697894034,474.4026407539362,172.26914629711783,492.8913283492936,136.31116940166993,4.776177706409396,1.9072586014151147,0.8070752703702765,0.0689892521961492,0.4166808504920722,0.0759151798383454,HPDE_2DG_10,,,,,,,,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_a1[%].asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_a2[%].asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_photons.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_t1.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_t2.asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_cells.tiff,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_cyto.tiff,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_nuclei.tiff,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_a1[%].asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_a2[%].asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_photons.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_t1.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_t2.asc,,,"(256, 256)",
HPDE_2DG_10_10,10.0,227.89834024896265,146.48429042611895,68.22623360995851,6.405884667814048,67.53876114868864,5.483442671207978,31.77376639004149,6.405884667814048,32.46123885131137,5.483442671207978,279.5241221991701,80.424404867459,279.3971477400384,76.40347283763404,2460.7498132780083,552.3146809791216,2413.708659408086,471.3459590200959,949.9457542085562,153.211532963324,955.788493743546,141.13139748194772,55.07676348547718,48.59802430437331,75.68895912863071,20.06584951643652,78.48894319132104,13.803317122370563,17.879505601659748,5.552907124644453,18.62184145477832,4.190777260840537,107.6938736514523,49.22343781674407,111.23987036576638,39.50733422849347,1588.4905809128632,507.9448981972767,1646.397714996045,386.8377511853517,386.9161318322881,129.46787939355173,402.4693596909752,99.13186158279066,4.920065054329676,2.8728219579165986,0.7977903696991216,0.0837181525488286,0.3943586117995687,0.0787907803158126,HPDE_2DG_10,,,,,,,,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_a1[%].asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_a2[%].asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_photons.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_t1.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10f_t2.asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_cells.tiff,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_cyto.tiff,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_mask_nuclei.tiff,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_a1[%].asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_a2[%].asc,,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_photons.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_t1.asc,C:\Users\econtrerasguzman\Desktop\development\flim_tools\examples\example_data\redox_ratio\HPDE_2DG_10n_t2.asc,,,"(256, 256)",
